状态ID,场景ID,状态码,状态名称,进入条件,状态效果,存档规则
SCN-G04-00-S0,SCN-G04-00,S0,初始,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-00-S1,SCN-G04-00,S1,已调查,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-00-S2,SCN-G04-00,S2,关键道具取得,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-00-S3,SCN-G04-00,S3,机关处理中,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-00-S4,SCN-G04-00,S4,危险解除,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-00-S5,SCN-G04-00,S5,场景修复,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-01-S0,SCN-G04-01,S0,初始,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-01-S1,SCN-G04-01,S1,已调查,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-01-S2,SCN-G04-01,S2,关键道具取得,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-01-S3,SCN-G04-01,S3,机关处理中,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-01-S4,SCN-G04-01,S4,危险解除,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-01-S5,SCN-G04-01,S5,场景修复,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-01-S6,SCN-G04-01,S6,章节完成回访,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-02-S0,SCN-G04-02,S0,初始,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-02-S1,SCN-G04-02,S1,已调查,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-02-S2,SCN-G04-02,S2,关键道具取得,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-02-S3,SCN-G04-02,S3,机关处理中,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-02-S4,SCN-G04-02,S4,危险解除,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-02-S5,SCN-G04-02,S5,场景修复,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-02-S6,SCN-G04-02,S6,章节完成回访,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-03-S0,SCN-G04-03,S0,初始,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-03-S1,SCN-G04-03,S1,已调查,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-03-S2,SCN-G04-03,S2,关键道具取得,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-03-S3,SCN-G04-03,S3,机关处理中,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-03-S4,SCN-G04-03,S4,危险解除,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-03-S5,SCN-G04-03,S5,场景修复,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-03-S6,SCN-G04-03,S6,章节完成回访,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-04-S0,SCN-G04-04,S0,初始,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-04-S1,SCN-G04-04,S1,已调查,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-04-S2,SCN-G04-04,S2,关键道具取得,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-04-S3,SCN-G04-04,S3,机关处理中,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-04-S4,SCN-G04-04,S4,危险解除,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-04-S5,SCN-G04-04,S5,场景修复,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-04-S6,SCN-G04-04,S6,章节完成回访,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-05-S0,SCN-G04-05,S0,初始,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-05-S1,SCN-G04-05,S1,已调查,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-05-S2,SCN-G04-05,S2,关键道具取得,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-05-S3,SCN-G04-05,S3,机关处理中,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-05-S4,SCN-G04-05,S4,危险解除,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-05-S5,SCN-G04-05,S5,场景修复,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-05-S6,SCN-G04-05,S6,章节完成回访,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-06-S0,SCN-G04-06,S0,初始,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-06-S1,SCN-G04-06,S1,已调查,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-06-S2,SCN-G04-06,S2,关键道具取得,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-06-S3,SCN-G04-06,S3,机关处理中,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-06-S4,SCN-G04-06,S4,危险解除,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-06-S5,SCN-G04-06,S5,场景修复,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-06-S6,SCN-G04-06,S6,章节完成回访,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-07-S0,SCN-G04-07,S0,初始,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-07-S1,SCN-G04-07,S1,已调查,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-07-S2,SCN-G04-07,S2,关键道具取得,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-07-S3,SCN-G04-07,S3,机关处理中,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-07-S4,SCN-G04-07,S4,危险解除,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-07-S5,SCN-G04-07,S5,场景修复,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-07-S6,SCN-G04-07,S6,章节完成回访,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-08-S0,SCN-G04-08,S0,初始,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-08-S1,SCN-G04-08,S1,已调查,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-08-S2,SCN-G04-08,S2,关键道具取得,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-08-S3,SCN-G04-08,S3,机关处理中,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-08-S4,SCN-G04-08,S4,危险解除,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-08-S5,SCN-G04-08,S5,场景修复,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-08-S6,SCN-G04-08,S6,章节完成回访,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-09-S0,SCN-G04-09,S0,初始,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-09-S1,SCN-G04-09,S1,已调查,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-09-S2,SCN-G04-09,S2,关键道具取得,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-09-S3,SCN-G04-09,S3,机关处理中,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-09-S4,SCN-G04-09,S4,危险解除,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,临时状态
SCN-G04-09-S5,SCN-G04-09,S5,场景修复,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
SCN-G04-09-S6,SCN-G04-09,S6,章节完成回访,由SceneStateService读取前置变量,切换热点、镜像层、NPC、环境效果和地图节点,S0/S2/S5/S6可持久保存
