提示ID,场景ID,机关/任务,提示等级,提示文本,触发条件,效果
HINT-G01-001-1,SCN-G01-00,维修舱断电,一级,先找能照亮配电盒的物品。,0次失败,方向提示
HINT-G01-001-2,SCN-G01-00,维修舱断电,二级,应急手灯在舱门右侧挂架。,1次失败,区域高亮
HINT-G01-001-3,SCN-G01-00,维修舱断电,三级,自动拾取应急手灯。,2次失败,完成一步
HINT-G01-002-1,SCN-G01-01,恢复七码,一级,先恢复供电，再安装芯片。,0次失败,方向提示
HINT-G01-002-2,SCN-G01-01,恢复七码,二级,保险丝和接线片都属于供电槽。,1次失败,显示槽位
HINT-G01-002-3,SCN-G01-01,恢复七码,三级,自动放入保险丝。,2次失败,完成一步
HINT-G01-003-1,SCN-G01-03,货舱漏气,一级,先测压力，确认安全时间。,0次失败,方向提示
HINT-G01-003-2,SCN-G01-03,货舱漏气,二级,补片先覆盖裂口，胶带再封边。,1次失败,显示顺序
HINT-G01-003-3,SCN-G01-03,货舱漏气,三级,自动放置金属补片。,2次失败,完成一步
HINT-G01-004-1,SCN-G01-04,星图校准,一级,先按边缘和星门编号拼合碎片。,0次失败,方向提示
HINT-G01-004-2,SCN-G01-04,星图校准,二级,锈环星坐标位于重复删除信号的源头。,1次失败,高亮区域
HINT-G01-004-3,SCN-G01-04,星图校准,三级,自动拼合一块星图碎片。,2次失败,完成一步
HINT-G01-005-1,SCN-G01-05,垃圾雨航线,一级,先连接两个已确认安全节点。,0次失败,方向提示
HINT-G01-005-2,SCN-G01-05,垃圾雨航线,二级,第三段需要推进器旁路创造时间窗口。,1次失败,显示旁路槽
HINT-G01-005-3,SCN-G01-05,垃圾雨航线,三级,自动完成第一段路线。,2次失败,完成一步
