资产ID,星球编号,星球/范围,场景名称,状态,优先级,交付状态
SCN-001,G02,锈环星,L00 拾光号坠落带,已完成概念设计,P0,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-002,G02,锈环星,L01 旧屏幕谷,已完成概念设计,P0,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-003,G02,锈环星,L02 阿铆工坊,已完成概念设计,P0,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-004,G02,锈环星,L03 发动机坑/吊臂区,已完成概念设计,P0,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-005,G02,锈环星,L04 电池洞穴,已完成概念设计,P0,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-006,G02,锈环星,L05 供暖棚/旧键盘区,已完成概念设计,P0,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-007,G02,锈环星,L06 电线森林,已完成概念设计,P0,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-008,G02,锈环星,L07 手套校准区/废弃起重站,已完成概念设计,P0,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-009,G02,锈环星,L08 豆包避难仓/借电事件,已完成概念设计,P0,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-010,G02,锈环星,L09 五塔能源外环,已完成概念设计,P0,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-011,G02,锈环星,L10 星门核心平台,已完成概念设计,P0,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-012,G03,齿轮荒原,落货码头,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-013,G03,齿轮荒原,四工坊环,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-014,G03,齿轮荒原,需求环街,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-015,G03,齿轮荒原,缺口宴席厅,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-016,G03,齿轮荒原,第一腹仓,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-017,G03,齿轮荒原,第二腹仓,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-018,G03,齿轮荒原,四向饥饿核心,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-019,G04,镜面沙海,倒影坠落场,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-020,G04,镜面沙海,反向地图市集,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-021,G04,镜面沙海,双生镜坊,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-022,G04,镜面沙海,棱镜峡谷,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-023,G04,镜面沙海,失忆沙丘,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-024,G04,镜面沙海,九座倒影宫,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-025,G04,镜面沙海,镜背档案层,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-026,G05,刻度冰原,碎冰降落带,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-027,G05,刻度冰原,尺林,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-028,G05,刻度冰原,量杯站,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-029,G05,刻度冰原,天平裂谷,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-030,G05,刻度冰原,钟表屋,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-031,G05,刻度冰原,断裂冰桥,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-032,G05,刻度冰原,冰夷校准塔,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-033,G06,分片群岛,碎航线空域,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-034,G06,分片群岛,半岛集市,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-035,G06,分片群岛,九格能源港,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-036,G06,分片群岛,中央假谈判厅,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-037,G06,分片群岛,能源海表层,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-038,G06,分片群岛,三座海底共鸣站,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-039,G06,分片群岛,九首能源塔,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-040,G07,方格城,移格城门,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-041,G07,方格城,拥挤住宅区,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-042,G07,方格城,公共空地争议区,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-043,G07,方格城,地下震动井,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-044,G07,方格城,折叠走廊工地,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-045,G07,方格城,七震测试场,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-046,G07,方格城,夔鼓核心,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-047,G08,钟摆之城,落日钟港,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-048,G08,钟摆之城,分钟街,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-049,G08,钟摆之城,秒针轨道,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-050,G08,钟摆之城,周期花园,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-051,G08,钟摆之城,昼夜剧场,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
SCN-052,G08,钟摆之城,错时钟塔,已完成概念设计,P1,基础状态/危险状态/解密中状态/修复后状态；含分层与交互物说明
