变量ID,变量名,类型,默认值,写入条件,持久性,约束
VAR-G01-001,g01_emergency_light_on,bool,false,恢复应急照明,保存,无
VAR-G01-002,g01_qima_online,bool,false,七码芯片安装,跨章保存,无
VAR-G01-003,g01_task_log_unlocked,bool,false,打开任务屏,跨章保存,无
VAR-G01-004,g01_map_unlocked,bool,false,打开船内地图,跨章保存,无
VAR-G01-005,g01_cargo_sealed,bool,false,货舱复压,保存,无
VAR-G01-006,g01_star_map_fragments,int,0,拾取星图碎片,保存,0-3
VAR-G01-007,g01_star_map_calibrated,bool,false,TUT-MECH-002完成,保存,无
VAR-G01-008,g01_rust_ring_signal_found,bool,false,分析求救信号,跨章保存,无
VAR-G01-009,g01_route_node_a,bool,false,航线节点A,保存,无
VAR-G01-010,g01_route_node_b,bool,false,航线节点B,保存,无
VAR-G01-011,g01_thruster_bypass,bool,false,旁路片安装,保存,无
VAR-G01-012,g01_route_complete,bool,false,TUT-MECH-003完成,保存,无
VAR-G01-013,ability_qima_search,bool,false,搜寻授权,跨章保存,只缩小区域
VAR-G01-014,ability_analysis,bool,false,分析授权,跨章保存,只分析已收集证据
VAR-G01-015,ability_pathfinding,bool,false,寻路授权,跨章保存,只限已探索节点
VAR-G01-016,ability_teleport,bool,false,G01不开放,跨章保存,禁止使用
VAR-G01-017,ability_shrink,bool,false,G01不开放,跨章保存,禁止使用
VAR-G01-018,ability_clone,bool,false,G01不开放,跨章保存,禁止使用
VAR-G01-019,g01_landing_scanned,bool,false,落点扫描,保存,无
VAR-G01-020,g01_handoff_to_g02,bool,false,自动存档信标,跨章保存,G02前置条件
VAR-G01-021,g01_chapter_complete,bool,false,舱门离舰,跨章保存,解锁G02
VAR-G01-022,world_star_core_count,int,0,G01不增加,跨章保存,保持0
VAR-G01-023,player_name,string,星宇,全项目固定,跨章保存,禁止写回小砾
VAR-G01-024,tutorial_hints_used,int,0,使用提示,保存,统计
VAR-G01-025,tutorial_skip_used,bool,false,跳过独立教学机制,保存,不影响剧情
