热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G07-0001,SCN-G07-00,错位城门-调查证据,调查证据,点击/扫描,进入场景,记录错位城门的关键证据,无,已读,OBJ-G07-001
HS-G07-0002,SCN-G07-00,错位城门-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得错位城门所需工具或证据,提示缩小范围,找物完成,OBJ-G07-001
HS-G07-0003,SCN-G07-00,错位城门-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进错位城门对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G07-001
HS-G07-0004,SCN-G07-00,错位城门-完成确认,完成确认,提交/确认,机制条件全部满足,完成错位城门并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G07-001
HS-G07-0005,SCN-G07-01,一格移动广场-调查证据,调查证据,点击/扫描,进入场景,记录一格移动广场的关键证据,无,已读,OBJ-G07-002
HS-G07-0006,SCN-G07-01,一格移动广场-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得一格移动广场所需工具或证据,提示缩小范围,找物完成,OBJ-G07-002
HS-G07-0007,SCN-G07-01,一格移动广场-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进一格移动广场对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G07-002
HS-G07-0008,SCN-G07-01,一格移动广场-完成确认,完成确认,提交/确认,机制条件全部满足,完成一格移动广场并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G07-002
HS-G07-0009,SCN-G07-02,最后一块空地-调查证据,调查证据,点击/扫描,进入场景,记录最后一块空地的关键证据,无,已读,OBJ-G07-003
HS-G07-0010,SCN-G07-02,最后一块空地-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得最后一块空地所需工具或证据,提示缩小范围,找物完成,OBJ-G07-003
HS-G07-0011,SCN-G07-02,最后一块空地-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进最后一块空地对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G07-003
HS-G07-0012,SCN-G07-02,最后一块空地-完成确认,完成确认,提交/确认,机制条件全部满足,完成最后一块空地并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G07-003
HS-G07-0013,SCN-G07-03,公共通道争议-调查证据,调查证据,点击/扫描,进入场景,记录公共通道争议的关键证据,无,已读,OBJ-G07-004
HS-G07-0014,SCN-G07-03,公共通道争议-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得公共通道争议所需工具或证据,提示缩小范围,找物完成,OBJ-G07-004
HS-G07-0015,SCN-G07-03,公共通道争议-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进公共通道争议对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G07-004
HS-G07-0016,SCN-G07-03,公共通道争议-完成确认,完成确认,提交/确认,机制条件全部满足,完成公共通道争议并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G07-004
HS-G07-0017,SCN-G07-04,封锁线测量-调查证据,调查证据,点击/扫描,进入场景,记录封锁线测量的关键证据,无,已读,OBJ-G07-005
HS-G07-0018,SCN-G07-04,封锁线测量-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得封锁线测量所需工具或证据,提示缩小范围,找物完成,OBJ-G07-005
HS-G07-0019,SCN-G07-04,封锁线测量-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进封锁线测量对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G07-005
HS-G07-0020,SCN-G07-04,封锁线测量-完成确认,完成确认,提交/确认,机制条件全部满足,完成封锁线测量并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G07-005
HS-G07-0021,SCN-G07-05,震动重排-调查证据,调查证据,点击/扫描,进入场景,记录震动重排的关键证据,无,已读,OBJ-G07-006
HS-G07-0022,SCN-G07-05,震动重排-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得震动重排所需工具或证据,提示缩小范围,找物完成,OBJ-G07-006
HS-G07-0023,SCN-G07-05,震动重排-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进震动重排对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G07-006
HS-G07-0024,SCN-G07-05,震动重排-完成确认,完成确认,提交/确认,机制条件全部满足,完成震动重排并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G07-006
HS-G07-0025,SCN-G07-06,塔架加固-调查证据,调查证据,点击/扫描,进入场景,记录塔架加固的关键证据,无,已读,OBJ-G07-007
HS-G07-0026,SCN-G07-06,塔架加固-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得塔架加固所需工具或证据,提示缩小范围,找物完成,OBJ-G07-007
HS-G07-0027,SCN-G07-06,塔架加固-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进塔架加固对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G07-007
HS-G07-0028,SCN-G07-06,塔架加固-完成确认,完成确认,提交/确认,机制条件全部满足,完成塔架加固并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G07-007
HS-G07-0029,SCN-G07-07,夔权限解除-调查证据,调查证据,点击/扫描,进入场景,记录夔权限解除的关键证据,无,已读,OBJ-G07-008
HS-G07-0030,SCN-G07-07,夔权限解除-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得夔权限解除所需工具或证据,提示缩小范围,找物完成,OBJ-G07-008
HS-G07-0031,SCN-G07-07,夔权限解除-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进夔权限解除对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G07-008
HS-G07-0032,SCN-G07-07,夔权限解除-完成确认,完成确认,提交/确认,机制条件全部满足,完成夔权限解除并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G07-008
HS-G07-0033,SCN-G07-08,城市恢复-调查证据,调查证据,点击/扫描,进入场景,记录城市恢复的关键证据,无,已读,OBJ-G07-009
HS-G07-0034,SCN-G07-08,城市恢复-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得城市恢复所需工具或证据,提示缩小范围,找物完成,OBJ-G07-009
HS-G07-0035,SCN-G07-08,城市恢复-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进城市恢复对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G07-009
HS-G07-0036,SCN-G07-08,城市恢复-完成确认,完成确认,提交/确认,机制条件全部满足,完成城市恢复并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G07-009
HS-G07-0037,SCN-G07-09,回访与结算-调查证据,调查证据,点击/扫描,进入场景,记录回访与结算的关键证据,无,已读,OBJ-G07-010
HS-G07-0038,SCN-G07-09,回访与结算-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得回访与结算所需工具或证据,提示缩小范围,找物完成,OBJ-G07-010
HS-G07-0039,SCN-G07-09,回访与结算-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进回访与结算对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G07-010
HS-G07-0040,SCN-G07-09,回访与结算-完成确认,完成确认,提交/确认,机制条件全部满足,完成回访与结算并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G07-010
