提示ID,场景ID,机关/任务,提示等级,提示文本,触发条件,效果
HINT-G12-001-1,SCN-G12-01,多工序依赖网,1级,先确认“多工序依赖网”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G12-001-2,SCN-G12-01,多工序依赖网,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G12-001-3,SCN-G12-01,多工序依赖网,3级,自动完成“多工序依赖网”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G12-002-1,SCN-G12-03,跨接口接驳,1级,先确认“跨接口接驳”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G12-002-2,SCN-G12-03,跨接口接驳,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G12-002-3,SCN-G12-03,跨接口接驳,3级,自动完成“跨接口接驳”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G12-003-1,SCN-G12-05,风暴姿态稳定,1级,先确认“风暴姿态稳定”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G12-003-2,SCN-G12-05,风暴姿态稳定,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G12-003-3,SCN-G12-05,风暴姿态稳定,3级,自动完成“风暴姿态稳定”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G12-004-1,SCN-G12-07,质量复核闭环,1级,先确认“质量复核闭环”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G12-004-2,SCN-G12-07,质量复核闭环,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G12-004-3,SCN-G12-07,质量复核闭环,3级,自动完成“质量复核闭环”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G12-013,SCN-G12-05,剧情性失败复盘,1级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,0次失败,方向提示
HINT-G12-014,SCN-G12-05,剧情性失败复盘,2级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,1次失败,显示缺失条件
HINT-G12-015,SCN-G12-05,剧情性失败复盘,3级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,2次失败,完成一步
HINT-G12-016,SCN-G12-07,女娲权限解除,1级,女娲权限解除：按证据、前置条件和安全节点逐项处理。,0次失败,方向提示
HINT-G12-017,SCN-G12-07,女娲权限解除,2级,女娲权限解除：按证据、前置条件和安全节点逐项处理。,1次失败,显示缺失条件
HINT-G12-018,SCN-G12-07,女娲权限解除,3级,女娲权限解除：按证据、前置条件和安全节点逐项处理。,2次失败,完成一步
