场景ID,场景名称,地点,场景类型,角色,核心目标,下一场景,存档点,关键道具,危险ID,UI引用
SCN-G11-00,看得见却装不上,工厂卸料口,入场调查,星宇、七码、装配师面面、仓线员箱箱、机械师臂叔、帝江,完成看得见却装不上的调查、找物、机制或权限目标,SCN-G11-01,AUTO-G11-001,三视图卡组,DANGER-056,UI-048
SCN-G11-01,三视图车间,三视图车间,机制推进,星宇、七码、装配师面面、仓线员箱箱、机械师臂叔、帝江,完成三视图车间的调查、找物、机制或权限目标,SCN-G11-02,AUTO-G11-002,方向轴,DANGER-057,UI-048
SCN-G11-02,空间装箱线,立体装箱线,找物与机制,星宇、七码、装配师面面、仓线员箱箱、机械师臂叔、帝江,完成空间装箱线的调查、找物、机制或权限目标,SCN-G11-03,AUTO-G11-003,立体模块,DANGER-058,UI-049
SCN-G11-03,维护通道争议,维护夹层,机制推进,星宇、七码、装配师面面、仓线员箱箱、机械师臂叔、帝江,完成维护通道争议的调查、找物、机制或权限目标,SCN-G11-04,AUTO-G11-004,维护通道框,DANGER-059,UI-049
SCN-G11-04,受力分散阵,护盾测试区,找物与机制,星宇、七码、装配师面面、仓线员箱箱、机械师臂叔、帝江,完成受力分散阵的调查、找物、机制或权限目标,SCN-G11-05,AUTO-G11-005,体积标签,DANGER-060,UI-050
SCN-G11-05,机械臂碰撞,机械臂管廊,剧情性失败/修正,星宇、七码、装配师面面、仓线员箱箱、机械师臂叔、帝江,完成机械臂碰撞的调查、找物、机制或权限目标,SCN-G11-06,AUTO-G11-006,受力箭头片,DANGER-061,UI-050
SCN-G11-06,关节避障维修,维修平台,机制推进,星宇、七码、装配师面面、仓线员箱箱、机械师臂叔、帝江,完成关节避障维修的调查、找物、机制或权限目标,SCN-G11-07,AUTO-G11-007,护盾面板,DANGER-061,UI-051
SCN-G11-07,帝江权限解除,帝江控制室,管理员权限解除,星宇、七码、装配师面面、仓线员箱箱、机械师臂叔、帝江,完成帝江权限解除的调查、找物、机制或权限目标,SCN-G11-08,AUTO-G11-008,关节动作卡,DANGER-059/DANGER-060/DANGER-061,UI-078
SCN-G11-08,工厂恢复,生产主线,世界改变/回访,星宇、七码、装配师面面、仓线员箱箱、机械师臂叔、帝江,完成工厂恢复的调查、找物、机制或权限目标,SCN-G11-09,AUTO-G11-009,姿态夹,无,UI-079
SCN-G11-09,回访与结算,工程档案台,世界改变/回访,星宇、七码、装配师面面、仓线员箱箱、机械师臂叔、帝江,完成回访与结算的调查、找物、机制或权限目标,G12,AUTO-G11-010,碰撞探针,无,UI-079
