道具ID,名称,类别,取得位置,使用热点,用途,消耗规则,归还/归档,备注
ITM-G05-001,磁力手套,跨章工具,G02继承,风切控制器/施工固定,牵引与维修,不消耗,继续携带,本章损耗+1
ITM-G05-002,镜面屏片,跨章工具,G02继承,降落校准,过滤镜像假读数,不消耗,继续携带,残留镜像需校准
ITM-G05-003,激光测距仪,测量工具,HOS-G05-001,多处测量点,获得距离读数,不消耗,跨章携带,读数受镜像影响
ITM-G05-004,单位卡,校准组件,HOS-G05-001,UI-024,防止米/厘米错读,不消耗,归档,七码错误校验
ITM-G05-005,基准杆,测量工具,HOS-G05-002,尺林刻度A,建立当前标准,不消耗,归还米米,无
ITM-G05-006,温度贴,测量工具,HOS-G05-002,尺林刻度B,记录温度影响,使用后贴附,保留尺林,无
ITM-G05-007,排水阀柄,维修工具,HOS-G05-003,排水阀槽,解除量杯站积水,使用后安装,保留站台,无
ITM-G05-008,量杯刻度片,机制组件,HOS-G05-003,UI-025,恢复容量刻度,使用后嵌入,保留量杯,无
ITM-G05-009,桥板组,施工材料,旧桥仓库,桥板铺设槽,触发第一次失败并用于复盘,部分损坏,损坏记录保留,剧情性损耗
ITM-G05-010,厚度探针,测量工具,HOS-G05-004,厚度探测点,测量冰层厚度,不消耗,继续携带,无
ITM-G05-011,配重袋,安全工具,HOS-G05-004,配重袋槽,调整压力分配,不消耗,归还秤砣叔,无
ITM-G05-012,安全绳,安全工具,HOS-G05-004,安全绳锚点,建立回退保护,使用后安装,保留冰缝,无
ITM-G05-013,滑轨组,施工材料,HOS-G05-005,滑轨长度槽,形成可伸缩桥基,使用后安装,保留主桥,无
ITM-G05-014,伸缩扣组,施工材料,HOS-G05-005,伸缩扣槽,预留动态余量,使用后安装,保留主桥,无
ITM-G05-015,配重块,施工材料,HOS-G05-005,配重横梁,平衡桥面,使用后安装,保留主桥,无
ITM-G05-016,复测钟,时间工具,HOS-G05-005,三分钟复测钟,建立复测周期,不消耗,留给滴答,无
ITM-G05-017,校准报告,任务证据,SCN-G05-00/01,管理员节点,证明双高度和标准变化,不消耗,证据归档,关键证据
ITM-G05-018,容量恢复报告,任务证据,SCN-G05-02,管理员节点,证明最低保障与余量,不消耗,证据归档,关键证据
ITM-G05-019,动态测量报告,任务证据,SCN-G05-05,管理员/结算,当前值＋误差＋复测周期,不消耗,跨章档案,章节核心成果
ITM-G05-020,安全路线记录,任务证据,SCN-G05-04,管理员节点,证明薄冰路线可行,不消耗,证据归档,关键证据
