存档ID,场景ID,触发条件,类型,保存内容,恢复位置
AUTO-G02-001,SCN-G02-00,完成降落扫描,自动,场景S1、证据EVD-G02-001,重新进入降落末段
AUTO-G02-002,SCN-G02-01,救下阿铆,自动,救援结果、资源标签调查状态,从屏幕谷安全点恢复
AUTO-G02-003,SCN-G02-02,电视墙档案恢复,自动,找物结果、三屏状态、证据,从电视墙修复后恢复
AUTO-G02-004A,SCN-G02-03A,发动机电池拆解完成,自动,能源物品、喷发周期,发动机坑出口
AUTO-G02-004B,SCN-G02-03B,电池洞穴完成,自动,稳定芯、保险丝、蜘蛛状态,洞穴入口安全点
AUTO-G02-004C,SCN-G02-03C,借用登记完成,自动,替代供暖、借用核心状态,居民棚外
AUTO-G02-004D,SCN-G02-03D,安全路线完成,自动,路径节点、绝缘桥,电线森林出口
AUTO-G02-005,SCN-G02-04,磁力手套完成,自动,装备状态、极性诊断,阿铆工坊
AUTO-G02-006,SCN-G02-05,豆包借电方案确认,自动,备用接口、可中止规则、旧电容,工坊内室
AUTO-G02-007,SCN-G02-06,管理员权限解除,自动,五项权限、星门稳定、星核,星门平台结算
AUTO-G02-008,SCN-G02-07,三项归还完成,自动,回访状态、章节完成变量,章节结算页
MAN-G02-001,任意安全场景,玩家手动存档,手动,全部持久变量,最近安全状态
