热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G01-0001,SCN-G01-00,应急手灯,拾取热点,点击,无,获得应急手灯,无,消失,OBJ-G01-001
HS-G01-0002,SCN-G01-00,熔断配电盒,调查热点,点击/扫描,获得手灯,发现保险丝熔断与旁路烧蚀,无,已调查,OBJ-G01-001
HS-G01-0003,SCN-G01-00,维修柜,找物入口,点击,调查配电盒,进入维修柜找物,提示缩小范围,完成后柜门保持开启,OBJ-G01-002
HS-G01-0004,SCN-G01-00,应急照明槽,组合热点,拖入临时保险丝,取得保险丝,恢复维修舱照明,错误道具不消耗,已安装,OBJ-G01-002
HS-G01-0005,SCN-G01-01,七码核心托架,调查热点,点击,照明恢复,确认七码缺少芯片与供电,无,已调查,OBJ-G01-003
HS-G01-0006,SCN-G01-01,导航零件堆,找物入口,点击,检查核心托架,取得七码芯片、接线片和保险丝,提示定位,空零件堆,OBJ-G01-003
HS-G01-0007,SCN-G01-01,七码供电槽,组合热点,拖入保险丝与接线片,收齐零件,恢复七码供电,顺序错误退回一步,已通电,OBJ-G01-004
HS-G01-0008,SCN-G01-01,七码芯片槽,组合热点,拖入七码芯片,供电恢复,七码上线并触发对话,错误方向可旋转,已安装,OBJ-G01-004
HS-G01-0009,SCN-G01-02,中控任务屏,任务热点,点击,七码上线,打开任务日志,无,已读,OBJ-G01-005
HS-G01-0010,SCN-G01-02,船内地图,地图热点,点击,任务屏已读,显示已探索/未探索节点,无,已解锁,OBJ-G01-005
HS-G01-0011,SCN-G01-02,维修清单,证据热点,拖入档案页,取得维修清单,建立任务链,错误页退回,已归档,OBJ-G01-005
HS-G01-0012,SCN-G01-02,星图室门,路径热点,点击,任务链建立,开放星图室路径,前置不足提示,已开放,OBJ-G01-006
HS-G01-0013,SCN-G01-03,货舱裂口,危险热点,调查,进入货舱,显示漏气方向与压力下降,靠近过久退回安全点,已标记,OBJ-G01-007
HS-G01-0014,SCN-G01-03,压力表接口,组合热点,拖入压力表,裂口已标记,显示剩余安全时间,错误工具退回,已安装,OBJ-G01-007
HS-G01-0015,SCN-G01-03,裂口补片槽,组合热点,拖入补片和密封胶带,压力表已安装,封闭裂口,顺序错误可撤销,已封闭,OBJ-G01-008
HS-G01-0016,SCN-G01-03,货舱复压阀,确认热点,点击,裂口封闭,恢复气密并保存,压力不足拒绝,已复压,OBJ-G01-008
HS-G01-0017,SCN-G01-04,破碎星图台,找物入口,点击,进入星图室,取得星图碎片与坐标标记,提示缩小范围,台面清空,OBJ-G01-009
HS-G01-0018,SCN-G01-04,十二星门环,教学机制,拖拽星图碎片,收齐碎片,完成TUT-MECH-002星图校准,错误片退回,环路点亮,OBJ-G01-009
HS-G01-0019,SCN-G01-04,异常信号层,分析热点,七码分析,星图校准完成,标记十二处异常与锈环星求救源,无,已分析,OBJ-G01-010
HS-G01-0020,SCN-G01-04,锈环星坐标槽,组合热点,拖入坐标标记,异常层已分析,锁定目标坐标,错误目标不消耗,已锁定,OBJ-G01-010
HS-G01-0021,SCN-G01-05,航线节点A,路径节点,点击连接,进入航线场景,建立第一段安全路线,碰撞路线退回一步,已连接,OBJ-G01-011
HS-G01-0022,SCN-G01-05,航线节点B,路径节点,点击连接,节点A完成,建立第二段安全路线,碰撞路线退回一步,已连接,OBJ-G01-011
HS-G01-0023,SCN-G01-05,推进器旁路槽,组合热点,拖入旁路片,第二段完成,开放第三段短时窗口,错误片退回,已旁路,OBJ-G01-012
HS-G01-0024,SCN-G01-05,锈环星安全落点,路径节点,点击确认,第三段窗口开放,完成TUT-MECH-003航线规划,窗口关闭时拒绝,已确认,OBJ-G01-012
HS-G01-0025,SCN-G01-06,求救信号波形,证据热点,扫描,进入观测窗,取得求救记录,无,已记录,OBJ-G01-013
HS-G01-0026,SCN-G01-06,七码搜寻授权,能力热点,点击确认,求救记录完成,开放七码搜寻,无,已授权,OBJ-G01-013
HS-G01-0027,SCN-G01-06,分析授权,能力热点,点击确认,搜寻授权完成,开放分析,无,已授权,OBJ-G01-013
HS-G01-0028,SCN-G01-06,寻路授权,能力热点,点击确认,分析授权完成,开放已探索节点寻路,无,已授权,OBJ-G01-013
HS-G01-0029,SCN-G01-07,垃圾雨落点扫描,扫描热点,七码扫描,进入近地轨道,标记旧屏幕谷外缘,无,已扫描,OBJ-G01-014
HS-G01-0030,SCN-G01-07,自动存档信标,系统热点,点击确认,落点已扫描,写入G01完成与G02交接变量,无,已保存,OBJ-G01-014
HS-G01-0031,SCN-G01-07,拾光号舱门,章节出口,点击,自动存档完成,进入G02旧屏幕谷外缘,条件不足拒绝,已离舰,OBJ-G01-015
HS-G01-0032,SCN-G01-07,序章回顾卡,结算热点,点击,G01完成,显示教学回顾与能力清单,无,已读,OBJ-G01-015
