对话ID,场景ID,说话者,台词,类型,触发条件,跳过规则,关联
DLG-G01-0001,SCN-G01-00,星宇,七码？回答。,自动,开场,不可跳过首次,无
DLG-G01-0002,SCN-G01-00,系统,导航核心离线。维修舱进入应急照明模式。,系统,开场后,不可跳过首次,无
DLG-G01-0003,SCN-G01-00,星宇,先找光，再找故障。,场景,取得手灯,不可跳过首次,教学原则
DLG-G01-0004,SCN-G01-01,七码,启动完成。我离线了四分十二秒。你没有拆船吧？,剧情,七码恢复,不可跳过首次,角色关系
DLG-G01-0005,SCN-G01-01,星宇,只拆了保险丝。,剧情,DLG-G01-0004,不可跳过首次,无
DLG-G01-0006,SCN-G01-01,七码,那是船的一部分。记录：回答为‘拆了’。,笑点,DLG-G01-0005,可跳过已读,七码性格
DLG-G01-0007,SCN-G01-02,七码,维修清单有三项。建议从最容易的开始，以提高成功率统计。,场景,打开任务屏,不可跳过首次,任务教学
DLG-G01-0008,SCN-G01-02,星宇,按依赖顺序，不按看起来容易。,场景,任务链建立,不可跳过首次,方法提示
DLG-G01-0009,SCN-G01-03,七码,货舱氧压下降。预计安全时间九十秒。,危险,进入货舱,不可跳过首次,软失败教学
DLG-G01-0010,SCN-G01-03,星宇,先测压力，再封裂口。做错就退回舱门，不丢工具。,危险,压力表安装,不可跳过首次,失败规则
DLG-G01-0011,SCN-G01-03,七码,复压完成。你刚才用了八十三秒。建议下次不要用最后七秒庆祝。,笑点,修复完成,可跳过已读,无
DLG-G01-0012,SCN-G01-04,七码,星图缺了三块。十二个星门同时出现异常，这种概率很不礼貌。,剧情,进入星图室,不可跳过首次,无
DLG-G01-0013,SCN-G01-04,星宇,先拼回来源，再判断哪个信号最急。,场景,开始星图机制,不可跳过首次,证据教学
DLG-G01-0014,SCN-G01-04,七码,锈环星的求救信号最早、最弱，而且在重复删除自己。,剧情,分析完成,不可跳过首次,G02钩子
DLG-G01-0015,SCN-G01-05,七码,垃圾雨路径有七条。安全路线只有一条半。,场景,打开航线,不可跳过首次,无
DLG-G01-0016,SCN-G01-05,星宇,那半条就是时间窗口。标安全节点。,场景,旁路片安装,不可跳过首次,寻路规则
DLG-G01-0017,SCN-G01-06,求救信号,这里是锈环星旧屏幕谷。资源封存系统失控。有人被困。,记录,波形解析,不可跳过首次,求救正文
DLG-G01-0018,SCN-G01-06,星宇,七码，开放搜寻、分析和已探索节点寻路。其他权限保持关闭。,授权,求救记录完成,不可跳过首次,能力边界
DLG-G01-0019,SCN-G01-06,七码,确认。瞬移、缩小、复制体仍未授权。我会在你尝试时提醒你。,授权,三项授权完成,不可跳过首次,能力边界
DLG-G01-0020,SCN-G01-07,七码,落点已扫描。旧屏幕谷外缘，垃圾雨间隔八秒。,自动,进入近地轨道,不可跳过首次,G02交接
DLG-G01-0021,SCN-G01-07,星宇,自动存档。落地后先救人，再查系统。,自动,落点扫描完成,不可跳过首次,G02目标
DLG-G01-0022,SCN-G01-07,七码,已保存。顺便保存了你刚才差点把左舷叫成右舷的记录。,笑点,自动存档完成,可跳过已读,无
DLG-G01-0023,SCN-G01-07,星宇,删除那条。,剧情,DLG-G01-0022,可跳过已读,无
DLG-G01-0024,SCN-G01-07,七码,权限不足。,结尾,DLG-G01-0023,不可跳过首次,序章结尾
