状态ID,场景ID,状态码,状态名称,状态说明,进入条件,状态效果,存档规则
SCN-G02-00-S0,SCN-G02-00,S0,初始,场景初始布置、基础热点开放,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-00-S1,SCN-G02-00,S1,已调查,关键环境或规则信息已发现,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-00-S2,SCN-G02-00,S2,关键道具取得,背包获得本场景必需道具,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-00-S3,SCN-G02-00,S3,机关处理中,机制UI或局部小游戏进行中,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-00-S5,SCN-G02-00,S5,场景修复,场景主状态完成并开放下一节点,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-01-S0,SCN-G02-01,S0,初始,场景初始布置、基础热点开放,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-01-S1,SCN-G02-01,S1,已调查,关键环境或规则信息已发现,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-01-S2,SCN-G02-01,S2,关键道具取得,背包获得本场景必需道具,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-01-S3,SCN-G02-01,S3,机关处理中,机制UI或局部小游戏进行中,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-01-S4,SCN-G02-01,S4,危险解除,当前DANGER状态解除或进入安全窗口,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-01-S5,SCN-G02-01,S5,场景修复,场景主状态完成并开放下一节点,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-01-S6,SCN-G02-01,S6,章节完成回访,章节权限解除后的持久变化,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-02-S0,SCN-G02-02,S0,初始,场景初始布置、基础热点开放,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-02-S1,SCN-G02-02,S1,已调查,关键环境或规则信息已发现,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-02-S2,SCN-G02-02,S2,关键道具取得,背包获得本场景必需道具,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-02-S3,SCN-G02-02,S3,机关处理中,机制UI或局部小游戏进行中,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-02-S4,SCN-G02-02,S4,危险解除,当前DANGER状态解除或进入安全窗口,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-02-S5,SCN-G02-02,S5,场景修复,场景主状态完成并开放下一节点,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-02-S6,SCN-G02-02,S6,章节完成回访,章节权限解除后的持久变化,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-03A-S0,SCN-G02-03A,S0,初始,场景初始布置、基础热点开放,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-03A-S1,SCN-G02-03A,S1,已调查,关键环境或规则信息已发现,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-03A-S2,SCN-G02-03A,S2,关键道具取得,背包获得本场景必需道具,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-03A-S3,SCN-G02-03A,S3,机关处理中,机制UI或局部小游戏进行中,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-03A-S4,SCN-G02-03A,S4,危险解除,当前DANGER状态解除或进入安全窗口,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-03A-S5,SCN-G02-03A,S5,场景修复,场景主状态完成并开放下一节点,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-03A-S6,SCN-G02-03A,S6,章节完成回访,章节权限解除后的持久变化,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-03B-S0,SCN-G02-03B,S0,初始,场景初始布置、基础热点开放,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
SCN-G02-03B-S1,SCN-G02-03B,S1,已调查,关键环境或规则信息已发现,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,临时状态
SCN-G02-03B-S2,SCN-G02-03B,S2,关键道具取得,背包获得本场景必需道具,进入条件由SceneStateService判断,更新热点、NPC、声音、地图节点,允许保存
