道具ID,名称,类别,取得位置,使用热点,用途,消耗规则,归还/归档,备注
ITM-G01-001,应急手灯,工具,HS-G01-0001,维修舱调查,照亮局部热点,不消耗,G01后归档,教学拾取
ITM-G01-002,临时保险丝,材料,HOS-G01-001,应急照明槽,恢复照明,使用后安装,保留场景,错误使用不消耗
ITM-G01-003,旧扳手,工具,HOS-G01-001,多处维修,基础维修工具,不消耗,升级为小扳手/归档,与最终手动维修呼应
ITM-G01-004,七码芯片,关键组件,HOS-G01-002,七码芯片槽,恢复七码,使用后安装,保留角色状态,不可丢弃
ITM-G01-005,接线片,材料,HOS-G01-002,七码供电槽,恢复供电,使用后安装,保留场景,无
ITM-G01-006,保险丝,材料,HOS-G01-002,七码供电槽,恢复供电,使用后安装,保留场景,无
ITM-G01-007,密封胶带,材料,HOS-G01-003,裂口补片槽,封闭漏气,使用后安装,保留货舱,无
ITM-G01-008,金属补片,材料,HOS-G01-003,裂口补片槽,封闭漏气,使用后安装,保留货舱,无
ITM-G01-009,压力表,工具,HOS-G01-003,压力表接口,显示氧压,不消耗,继续携带,教程仪表
ITM-G01-010,星图碎片组,证据/拼图,HOS-G01-004,十二星门环,恢复星图,使用后嵌入,保留星图室,无
ITM-G01-011,坐标标记,证据工具,HOS-G01-004,锈环星坐标槽,锁定求救源,错误使用不消耗,证据归档,无
ITM-G01-012,推进器旁路片,机械件,驾驶舱工具槽,推进器旁路槽,开放垃圾雨窗口,使用后安装,保留拾光号,无
ITM-G01-013,求救记录,证据,HS-G01-0025,能力授权/章节交接,证明前往锈环星原因,不消耗,跨章档案,关键剧情证据
ITM-G01-014,能力授权片,权限物,SCN-G01-06,搜寻/分析/寻路授权,开放基础能力,使用后写入变量,跨章保存,不占背包
