映射ID,资产ID,资产名称,应用场景,UI,热点/入口,关联危险/机制,说明
MAP-G02-001,MECH-001,资源网络,SCN-G02-06,UI-013,HS-G02-0036,DANGER-005,五塔供能与过载保护
MAP-G02-002,MECH-002,参数诊断,SCN-G02-02/04,UI-014,电视墙读数/极性切换器,DANGER-003/004,读数诊断与磁芯极性
MAP-G02-003,MECH-003,路径调度,SCN-G02-03D/06,UI-015,导线节点/五塔轮换,DANGER-001,线路路径与供能轮换
MAP-G02-004,DANGER-001,裸露电缆放电,SCN-G02-03D/06,UI-005,漏电池塘/五塔外环,无,周期放电与安全节点
MAP-G02-005,DANGER-002,吊臂落物区,SCN-G02-01/03A,UI-005,屏幕谷/发动机坑,无,落物节奏预警
MAP-G02-006,DANGER-003,电池洞穴过热,SCN-G02-03A/03B,UI-012,发动机/洞穴冷却,无,温度累积与安全回退
MAP-G02-007,DANGER-004,磁性碎片风,SCN-G02-00/04,UI-005,废料坡/磁力测试,无,方向性环境危险
MAP-G02-008,DANGER-005,能源塔过载,SCN-G02-06,UI-013/UI-012,五塔供能面板,MECH-001,系统级软重置
MAP-G02-009,DANGER-006,低温供暖中断,SCN-G02-03C/06,UI-005/UI-012,居民棚/稳定阶段,无,温度安全线
MAP-G02-010,UI-060,管理员对话/权限解除,SCN-G02-06,UI-060,五项权限节点,MECH-001/003,替代旧Boss界面
MAP-G02-011,UI-061,世界改变/学习结算,SCN-G02-07,UI-061,前后场景与归还状态,无,章节结算
