存档ID,场景ID,触发条件,保存内容,恢复位置
AUTO-G13-001,SCN-G13-00,回到零号地球完成,场景状态、关键物、机制进度、证据和变量,地球轨道站安全点
AUTO-G13-002,SCN-G13-01,十二星数据环完成,场景状态、关键物、机制进度、证据和变量,十二星数据厅安全点
AUTO-G13-003,SCN-G13-02,文明样本库完成,场景状态、关键物、机制进度、证据和变量,文明样本库安全点
AUTO-G13-004,SCN-G13-03,唤醒批次完成,场景状态、关键物、机制进度、证据和变量,生态准备舱安全点
AUTO-G13-005,SCN-G13-04,历史档案井完成,场景状态、关键物、机制进度、证据和变量,历史档案井安全点
AUTO-G13-006,SCN-G13-05,真相拼合完成,场景状态、关键物、机制进度、证据和变量,真相时间线安全点
AUTO-G13-007,SCN-G13-06,旧核心手动维修完成,场景状态、关键物、机制进度、证据和变量,旧核心机房安全点
AUTO-G13-008,SCN-G13-07,最终权限解除完成,场景状态、关键物、机制进度、证据和变量,零号控制室安全点
AUTO-G13-009,SCN-G13-08,结局选择完成,场景状态、关键物、机制进度、证据和变量,地表观察台安全点
AUTO-G13-010,SCN-G13-09,全章回顾完成,场景状态、关键物、机制进度、证据和变量,星图回顾厅安全点
