变量ID,变量名,类型,默认值,写入条件,持久性,约束
VAR-G06-001,g06_intro_done,bool,false,首场景完成,保存,无
VAR-G06-002,g06_mech_1_done,bool,false,九片航线重组完成,保存,权限条件
VAR-G06-003,g06_mech_2_done,bool,false,缺口表归并完成,保存,权限条件
VAR-G06-004,g06_mech_3_done,bool,false,比例桥材切分完成,保存,权限条件
VAR-G06-005,g06_mech_4_done,bool,false,岛链能源配比完成,保存,权限条件
VAR-G06-006,g06_story_failure_seen,bool,false,剧情性失败发生,保存,必须发生
VAR-G06-007,g06_evidence_1,bool,false,取得或验证证据,保存,无
VAR-G06-008,g06_evidence_2,bool,false,取得或验证证据,保存,无
VAR-G06-009,g06_evidence_3,bool,false,取得或验证证据,保存,无
VAR-G06-010,g06_evidence_4,bool,false,取得或验证证据,保存,无
VAR-G06-011,g06_evidence_5,bool,false,取得或验证证据,保存,无
VAR-G06-012,g06_evidence_6,bool,false,取得或验证证据,保存,无
VAR-G06-013,g06_evidence_7,bool,false,取得或验证证据,保存,无
VAR-G06-014,g06_evidence_8,bool,false,取得或验证证据,保存,无
VAR-G06-015,g06_evidence_9,bool,false,取得或验证证据,保存,无
VAR-G06-016,g06_evidence_10,bool,false,取得或验证证据,保存,无
VAR-G06-017,g06_permission_1,bool,false,管理员权限节点完成,保存,权限1
VAR-G06-018,g06_permission_2,bool,false,管理员权限节点完成,保存,权限2
VAR-G06-019,g06_permission_3,bool,false,管理员权限节点完成,保存,权限3
VAR-G06-020,g06_permission_4,bool,false,管理员权限节点完成,保存,权限4
VAR-G06-021,g06_admin_unlocked,bool,false,管理员权限解除,跨章保存,无
VAR-G06-022,g06_world_change_checks,int,0,世界改变回访,保存,0-3
VAR-G06-023,g06_chapter_complete,bool,false,章节结算,跨章保存,解锁G07
VAR-G06-024,world_star_core_count,int,4,章节完成,跨章保存,完成后+1
VAR-G06-025,player_name,string,星宇,全项目固定,跨章保存,禁止写回小砾
VAR-G06-026,g06_hint_level,int,0,失败次数更新,临时+保存,0-3
VAR-G06-027,g06_last_safe_node,string,无,进入安全节点,保存,恢复位置
VAR-G06-028,g06_inventory_valid,bool,true,每次保存前校验,保存,关键物完整
VAR-G06-029,g06_ending_flag,string,未完成,章节结算,跨章保存,完成/分支
