资产ID,星球,机制名称,状态,冻结版本
MECH-001,G02 锈环星,资源网络,已确认冻结,V2.0
MECH-002,G02 锈环星,参数诊断,已确认冻结,V2.0
MECH-003,G02 锈环星,路径调度,已确认冻结,V2.0
MECH-004,G03 齿轮荒原,真实需求表,已确认冻结,V2.0
MECH-005,G03 齿轮荒原,订单欺骗,已确认冻结,V2.0
MECH-006,G03 齿轮荒原,传送带逆行,已确认冻结,V2.0
MECH-007,G03 齿轮荒原,公开分配会,已确认冻结,V2.0
MECH-008,G04 镜面沙海,现实/镜像双层坐标,已确认冻结,V2.0
MECH-009,G04 镜面沙海,记忆耐久,已确认冻结,V2.0
MECH-010,G04 镜面沙海,反向输入机关,已确认冻结,V2.0
MECH-011,G04 镜面沙海,欺骗预测,已确认冻结,V2.0
MECH-012,G05 刻度冰原,双高度校准,已确认冻结,V2.0
MECH-013,G05 刻度冰原,量杯上涨,已确认冻结,V2.0
MECH-014,G05 刻度冰原,误差带测量,已确认冻结,V2.0
MECH-015,G05 刻度冰原,薄冰安全路线,已确认冻结,V2.0
MECH-016,G06 分片群岛,九片航线重组,已确认冻结,V2.0
MECH-017,G06 分片群岛,缺口表归并,已确认冻结,V2.0
MECH-018,G06 分片群岛,比例桥材切分,已确认冻结,V2.0
MECH-019,G06 分片群岛,岛链能源配比,已确认冻结,V2.0
MECH-020,G07 方格城,城门平移一格,已确认冻结,V2.0
MECH-021,G07 方格城,最后一块空地,已确认冻结,V2.0
MECH-022,G07 方格城,周长封锁线,已确认冻结,V2.0
MECH-023,G07 方格城,三角支撑网,已确认冻结,V2.0
MECH-024,G08 钟摆之城,三钟同步,已确认冻结,V2.0
MECH-025,G08 钟摆之城,窗口行动链,已确认冻结,V2.0
MECH-026,G08 钟摆之城,循环日志保留,已确认冻结,V2.0
MECH-027,G08 钟摆之城,相位门阵,已确认冻结,V2.0
MECH-028,G09 棋阵卫星,翻面坐标盘,已确认冻结,V2.0
MECH-029,G09 棋阵卫星,棋子能力推演,已确认冻结,V2.0
MECH-030,G09 棋阵卫星,真假规则链,已确认冻结,V2.0
MECH-031,G09 棋阵卫星,双盘同步,已确认冻结,V2.0
MECH-032,G10 概率云港,风向样本墙,已确认冻结,V2.0
MECH-033,G10 概率云港,货箱抽样调查,已确认冻结,V2.0
MECH-034,G10 概率云港,概率门阵,已确认冻结,V2.0
MECH-035,G10 概率云港,天气决策板,已确认冻结,V2.0
MECH-036,G11 立体工厂,三视图装配,已确认冻结,V2.0
MECH-037,G11 立体工厂,空间装箱线,已确认冻结,V2.0
MECH-038,G11 立体工厂,受力分散阵,已确认冻结,V2.0
MECH-039,G11 立体工厂,关节避障序列,已确认冻结,V2.0
MECH-040,G12 百工星环,多工序依赖网,已确认冻结,V2.0
MECH-041,G12 百工星环,跨接口接驳,已确认冻结,V2.0
MECH-042,G12 百工星环,风暴姿态稳定,已确认冻结,V2.0
MECH-043,G12 百工星环,质量复核闭环,已确认冻结,V2.0
MECH-044,G13 零号地球,十二星数据闭环,已确认冻结,V2.0
MECH-045,G13 零号地球,文明样本唤醒,已确认冻结,V2.0
MECH-046,G13 零号地球,历史真相拼合,已确认冻结,V2.0
MECH-047,G13 零号地球,最终手动维修,已确认冻结,V2.0
