资产ID,星球编号,星球,道具名称,对应正式板,状态,核查结论
PROP-001,G02,锈环星,磁力手套,G02_锈环星_PROP-001-012_已确认基准.png,已确认基准,通过
PROP-002,G02,锈环星,短距瞬移装置,G02_锈环星_PROP-001-012_已确认基准.png,已确认基准,通过
PROP-003,G02,锈环星,资源登记牌,G02_锈环星_PROP-001-012_已确认基准.png,已确认基准,通过
PROP-004,G02,锈环星,七码扫描模块,G02_锈环星_PROP-001-012_已确认基准.png,已确认基准,通过
PROP-005,G02,锈环星,星宇工具腰带,G02_锈环星_PROP-001-012_已确认基准.png,已确认基准,通过
PROP-006,G02,锈环星,脉冲电容芯,G02_锈环星_PROP-001-012_已确认基准.png,已确认基准,通过
PROP-007,G02,锈环星,稳定电芯,G02_锈环星_PROP-001-012_已确认基准.png,已确认基准,通过
PROP-008,G02,锈环星,低损耗铜线,G02_锈环星_PROP-001-012_已确认基准.png,已确认基准,通过
PROP-009,G02,锈环星,公共稳压器借用许可牌,G02_锈环星_PROP-001-012_已确认基准.png,已确认基准,通过
PROP-010,G02,锈环星,检修扣,G02_锈环星_PROP-001-012_已确认基准.png,已确认基准,通过
PROP-011,G02,锈环星,同步维持器,G02_锈环星_PROP-001-012_已确认基准.png,已确认基准,通过
PROP-012,G02,锈环星,尾索规避器,G02_锈环星_PROP-001-012_已确认基准.png,已确认基准,通过
PROP-013,G03,齿轮荒原,均分齿轮背包,G03_齿轮荒原_PROP-013-015_重设计版.png,重设计完成,通过
PROP-014,G03,齿轮荒原,订单伪写器,G03_齿轮荒原_PROP-013-015_重设计版.png,重设计完成,通过
PROP-015,G03,齿轮荒原,干扰需求环,G03_齿轮荒原_PROP-013-015_重设计版.png,重设计完成,通过
PROP-016,G04,镜面沙海,棱镜扫描镜,G04_镜面沙海_PROP-016-018_重设计版.png,重设计完成,通过
PROP-017,G04,镜面沙海,镜像披风,G04_镜面沙海_PROP-016-018_重设计版.png,重设计完成,通过
PROP-018,G04,镜面沙海,记忆铆钉,G04_镜面沙海_PROP-016-018_重设计版.png,重设计完成,通过
PROP-019,G05,刻度冰原,激光卷尺,G05_刻度冰原_PROP-019-021_重设计版.png,重设计完成,通过
PROP-020,G05,刻度冰原,冰面抓地靴,G05_刻度冰原_PROP-019-021_重设计版.png,重设计完成,通过
PROP-021,G05,刻度冰原,伸缩桥轨,G05_刻度冰原_PROP-019-021_重设计版.png,重设计完成,通过
PROP-022,G06,分片群岛,分数切割器,G06_分片群岛_PROP-022-024_重设计版.png,重设计完成,通过
PROP-023,G06,分片群岛,能源调配罐,G06_分片群岛_PROP-022-024_重设计版.png,重设计完成,通过
PROP-024,G06,分片群岛,拼片护甲,G06_分片群岛_PROP-022-024_重设计版.png,重设计完成,通过
PROP-025,G07,方格城,方格建造器,G07_方格城_PROP-025-027_重设计版.png,重设计完成,通过
PROP-026,G07,方格城,周长束缚索,G07_方格城_PROP-025-027_重设计版.png,重设计完成,通过
PROP-027,G07,方格城,三角稳定甲,G07_方格城_PROP-025-027_重设计版.png,重设计完成,通过
PROP-028,G08,钟摆之城,时间减速器,G08_钟摆之城_PROP-028-030_重设计版.png,重设计完成,通过
PROP-029,G08,钟摆之城,周期预测仪,G08_钟摆之城_PROP-028-030_重设计版.png,重设计完成,通过
PROP-030,G08,钟摆之城,循环外刻片,G08_钟摆之城_PROP-028-030_重设计版.png,重设计完成,通过
PROP-031,G09,棋阵卫星,坐标定位器,G09_棋阵卫星_PROP-031-033_重设计版.png,重设计完成,通过
PROP-032,G09,棋阵卫星,逻辑干扰器,G09_棋阵卫星_PROP-031-033_重设计版.png,重设计完成,通过
PROP-033,G09,棋阵卫星,棋阵投影盘,G09_棋阵卫星_PROP-031-033_重设计版.png,重设计完成,通过
PROP-034,G10,概率云港,数据预测头盔,G10-G11_概率云港-立体工厂_PROP-034-039_重设计版.png,重设计完成,通过
PROP-035,G10,概率云港,概率感应器,G10-G11_概率云港-立体工厂_PROP-034-039_重设计版.png,重设计完成,通过
PROP-036,G10,概率云港,云港滑翔翼,G10-G11_概率云港-立体工厂_PROP-034-039_重设计版.png,重设计完成,通过
PROP-037,G11,立体工厂,立体装配臂,G10-G11_概率云港-立体工厂_PROP-034-039_重设计版.png,重设计完成,通过
PROP-038,G11,立体工厂,空间折叠箱,G10-G11_概率云港-立体工厂_PROP-034-039_重设计版.png,重设计完成,通过
PROP-039,G11,立体工厂,棱角护盾,G10-G11_概率云港-立体工厂_PROP-034-039_重设计版.png,重设计完成,通过
PROP-040,G12,百工星环,综合工程臂,G12_百工星环_PROP-040-043_重设计版.png,重设计完成,通过
PROP-041,G12,百工星环,模块接驳器,G12_百工星环_PROP-040-043_重设计版.png,重设计完成,通过
PROP-042,G12,百工星环,风暴稳定翼,G12_百工星环_PROP-040-043_重设计版.png,重设计完成,通过
PROP-043,G12,百工星环,工程调度台,G12_百工星环_PROP-040-043_重设计版.png,重设计完成,通过
PROP-044,G13,零号地球,十二星修复环,G13_零号地球_PROP-044-046_重设计版.png,重设计完成,通过
PROP-045,G13,零号地球,文明种子舱,G13_零号地球_PROP-044-046_重设计版.png,重设计完成,通过
PROP-046,G13,零号地球,最初的小扳手,G13_零号地球_PROP-044-046_重设计版.png,重设计完成,通过
