对话ID,场景ID,说话者,台词,类型,触发条件,跳过规则,关联
DLG-G03-0001,SCN-G03-00,卡卡,我绝对没有送错！只是箱子先到了，货还在后面。,自动,救援完成,不可跳过首次,无
DLG-G03-0002,SCN-G03-00,七码,物流记录显示：所有货箱正在返回出发地。这个系统对‘送达’的理解很有个性。,自动,扫描控制箱,不可跳过首次,无
DLG-G03-0003,SCN-G03-01,星宇,先把二十个齿轮平均分掉，至少大家都有。,剧情,首次争斗,不可跳过首次,冲动错误
DLG-G03-0004,SCN-G03-01,方盒姨,每区五个，看起来公平。急救区今天要十五个，你让它拿五个怎么开工？,剧情,平均分配失败,不可跳过首次,UI-016
DLG-G03-0005,SCN-G03-01,星宇,我先看需求，不再只看人数。,剧情,失败后,不可跳过首次,性格修正
DLG-G03-0006,SCN-G03-02,饕餮,所有区都缺。所有缺口都应立刻填满。,管理员广播,进入宴席,不可跳过首次,无
DLG-G03-0007,SCN-G03-02,七码,四个盘子都写着‘最紧急’。从数据角度说，它们至少有三个在夸张。,场景,调查四盘,可跳过已读,无
DLG-G03-0008,SCN-G03-02,星宇,缺多少、为什么缺、晚一点会怎样。三个问题都答完，才叫需求。,剧情,真实需求表完成,不可跳过首次,章节方法
DLG-G03-0009,SCN-G03-03,卡卡,我把急救弹簧送到装饰工坊，是因为标签上画了花。花不是装饰吗？,场景,发现错误货箱,可跳过已读,无
DLG-G03-0010,SCN-G03-03,七码,标签、货物、订单三样至少有一样在撒谎。也可能三样都在。,场景,进入校验台,可跳过已读,UI-017
DLG-G03-0011,SCN-G03-04,星宇,我们不是伪造需求，只是让控制器把自己的错误命令说出来。,剧情,准备干扰订单,不可跳过首次,无
DLG-G03-0012,SCN-G03-04,七码,订单重量：四十吨。更正，四十克。再次更正，我把单位栏印反了。,场景,首次排版错误,可跳过已读,七码麻烦错误
DLG-G03-0013,SCN-G03-05,卡卡,我记得出口！出口会移动这件事不影响我记得。,自动,进入收缩区,不可跳过首次,无
DLG-G03-0014,SCN-G03-05,星宇,别追出口，先找不会移动的安全节点。,场景,第一次路线失败,不可跳过首次,安全节点规则
DLG-G03-0015,SCN-G03-06,方盒姨,带子能转不代表能用。货送错一次，比停一分钟更糟。,剧情,方向恢复后,不可跳过首次,UI-018
DLG-G03-0016,SCN-G03-06,七码,方向正确，速度百分之八百。建议大家先不要庆祝。,场景,带速过高,可跳过已读,七码漏洞错误
DLG-G03-0017,SCN-G03-07,饕餮,需求永远大于资源。必须由我决定。,管理员,阶段0,不可跳过首次,UI-062
DLG-G03-0018,SCN-G03-07,星宇,需求可以被说明、比较和讨论。你把讨论全部删掉了。,管理员,阶段0后,不可跳过首次,无
DLG-G03-0019,SCN-G03-07,方盒姨,这是账本。谁拿了多少、为什么拿、什么时候还，都能查。,管理员,需求节点完成,不可跳过首次,证据提交
DLG-G03-0020,SCN-G03-07,四工匠,我们的缺口不一样，但都能写清楚。,管理员,订单节点完成,不可跳过首次,无
DLG-G03-0021,SCN-G03-07,七码,控制器正在同时要求所有货物回收、送达、冻结和销毁。它终于和自己吵起来了。,管理员,干扰订单生效,不可跳过首次,无
DLG-G03-0022,SCN-G03-07,星宇,你不是饿。是有人让你永远相信下一秒会不够。,管理员,控制器暴露,不可跳过首次,无
DLG-G03-0023,SCN-G03-07,饕餮,停止回收。停止吞入。开放仓门。,管理员,权限解除,不可跳过首次,管理员恢复
DLG-G03-0024,SCN-G03-08,方盒姨,先保急救和供暖，再谈生产，最后留储备。谁不同意，现在说。,分配会,开始,不可跳过首次,UI-019
DLG-G03-0025,SCN-G03-08,星宇,方案不是答案。大家能看见理由，也能要求重算。,分配会,方案可提交,不可跳过首次,章节主题
DLG-G03-0026,SCN-G03-08,七码,我建议平均分成四份。系统提示：此建议已在本章前半段造成过事故。,笑点,分配会中,可跳过,七码笑点错误
DLG-G03-0027,SCN-G03-09,卡卡,这次急救弹簧真的到了急救区。我亲眼看着标签、货和门牌三次。,回访,配送验证,不可跳过首次,无
DLG-G03-0028,SCN-G03-09,饕餮,我会记录需求，不再替所有人宣布需求。,回访,管理员对话,不可跳过首次,无
DLG-G03-0029,SCN-G03-09,星宇,平均不是公平。能解释、能检查、能修改，才更接近公平。,结算,三项回访完成,不可跳过首次,UI-063
DLG-G03-0030,SCN-G03-09,七码,下一处信号来自一片会把左右互换的沙海。我已经把导航左右校准了。大概。,结算,章节完成,不可跳过首次,G04钩子
