热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,证据ID,目标ID
HS-G02-0001,SCN-G02-00,断卫星轴,环境调查,点击,无,显示可作为掩体,读取说明,保持可见,无,OBJ-G02-001
HS-G02-0002,SCN-G02-00,蓝色封存脉冲,扫描热点,七码扫描,无,记录管理员封存信号,扫描失败提示靠近,转为已扫描,EVD-G02-001,OBJ-G02-001
HS-G02-0003,SCN-G02-01,阿铆挂索点,救援热点,拖拽磁力挂索,进入场景后,救下阿铆,松手时机提示,完成后禁用,无,OBJ-G02-002
HS-G02-0004,SCN-G02-01,钢板掩体,可移动物,磁力手套/后续回访,拥有磁力手套,形成掩体,尚未获得工具,移动到安全位,无,OBJ-G02-020
HS-G02-0005,SCN-G02-01,私人资源箱标签,证据热点,扫描,救援完成,获得私人归属证据,无,变为已读,EVD-G02-002,OBJ-G02-003
HS-G02-0006,SCN-G02-01,公共供暖箱标签,证据热点,扫描,救援完成,获得公共用途证据,无,变为已读,EVD-G02-003,OBJ-G02-003
HS-G02-0007,SCN-G02-01,废弃箱标签,证据热点,扫描,救援完成,获得废弃资源证据,无,变为已读,EVD-G02-004,OBJ-G02-003
HS-G02-0008,SCN-G02-02,电视墙主屏A,修复热点,拖入电源键与短线,取得对应物品,点亮第一屏,错误键退回背包,屏幕点亮,无,OBJ-G02-004
HS-G02-0009,SCN-G02-02,电视墙主屏B,修复热点,拖入电源键与短线,取得对应物品,点亮第二屏,错误键退回背包,屏幕点亮,无,OBJ-G02-004
HS-G02-0010,SCN-G02-02,电视墙主屏C,修复热点,拖入电源键与短线,取得对应物品,点亮第三屏并播放档案,错误键退回背包,档案播放,EVD-G02-005,OBJ-G02-004
HS-G02-0011,SCN-G02-02,屏幕碎片堆,找物入口,点击进入找物,调查电视墙,获得3枚电源键、2段短线、镜面屏片,提示缩小范围,完成后保留空堆,无,OBJ-G02-004
HS-G02-0012,SCN-G02-03A,发动机喷口,危险观察,点击/七码分析,无,获得8秒喷发周期,过早接近自动退回,显示安全窗口,EVD-G02-006,OBJ-G02-005
HS-G02-0013,SCN-G02-03A,卡死电池外壳,拆解热点,小扳手,获得喷发周期,拆出稳定芯与波动芯,强拉损坏一格并可软重置,空外壳,无,OBJ-G02-005
HS-G02-0014,SCN-G02-03A,冷却片槽,组合热点,冷却片,电池过热预警,延长安全窗口,错误道具退回,已安装,无,OBJ-G02-005
HS-G02-0015,SCN-G02-03B,镜面反射架,路径热点,镜面屏片,扫描短路蜘蛛,引导蜘蛛咬废电池,角度错只延迟,保持反射状态,无,OBJ-G02-006
HS-G02-0016,SCN-G02-03B,废电池诱饵,诱导热点,点击激活,反射架已调整,蜘蛛短路并开放路线,无,变为短路状态,无,OBJ-G02-006
HS-G02-0017,SCN-G02-03B,洞穴稳定芯,拾取热点,点击,蜘蛛短路,获得5格稳定芯,未解除危险时拒绝拾取,消失,无,OBJ-G02-006
HS-G02-0018,SCN-G02-03B,保险丝盒,找物热点,点击,蜘蛛短路,获得3只保险丝,无,空盒,无,OBJ-G02-006
