资产ID,星球编号,星球/范围,人物名称,类别,管理员,当前状态,优先级
CHAR-001,G02,锈环星,星宇,全局角色,否,已确认,P0
CHAR-002,G02,锈环星,七码,全局角色,否,概念草案,P0
CHAR-003,G02,锈环星,织星婆婆,全局角色,否,未设计,P0
CHAR-004,G02,锈环星,豆包,星球NPC,否,概念草案,P0
CHAR-005,G02,锈环星,阿铆,星球NPC,否,概念草案,P0
CHAR-006,G02,锈环星,小线球,星球NPC,否,未设计,P0
CHAR-007,G02,锈环星,狰,管理员,是,概念草案,P0
CHAR-008,G03,齿轮荒原,卡卡,星球NPC,否,未设计,P1
CHAR-009,G03,齿轮荒原,方盒姨,星球NPC,否,未设计,P1
CHAR-010,G03,齿轮荒原,叮,星球NPC,否,未设计,P1
CHAR-011,G03,齿轮荒原,当,星球NPC,否,未设计,P1
CHAR-012,G03,齿轮荒原,咔,星球NPC,否,未设计,P1
CHAR-013,G03,齿轮荒原,嚓,星球NPC,否,未设计,P1
CHAR-014,G03,齿轮荒原,饕餮,管理员,是,未设计,P1
CHAR-015,G04,镜面沙海,沙铃,星球NPC,否,未设计,P1
CHAR-016,G04,镜面沙海,阿左,星球NPC,否,未设计,P1
CHAR-017,G04,镜面沙海,阿右,星球NPC,否,未设计,P1
CHAR-018,G04,镜面沙海,翎片,星球NPC,否,未设计,P1
CHAR-019,G04,镜面沙海,背面人,星球NPC,否,未设计,P1
CHAR-020,G04,镜面沙海,九尾狐,管理员,是,未设计,P1
CHAR-021,G05,刻度冰原,米米,星球NPC,否,未设计,P1
CHAR-022,G05,刻度冰原,秤砣叔,星球NPC,否,未设计,P1
CHAR-023,G05,刻度冰原,升升,星球NPC,否,未设计,P1
CHAR-024,G05,刻度冰原,滴答,星球NPC,否,未设计,P1
CHAR-025,G05,刻度冰原,冰夷,管理员,是,未设计,P1
CHAR-026,G06,分片群岛,半半,星球NPC,否,未设计,P1
CHAR-027,G06,分片群岛,圆饼师傅,星球NPC,否,未设计,P1
CHAR-028,G06,分片群岛,格格船长,星球NPC,否,未设计,P1
CHAR-029,G06,分片群岛,小滴,星球NPC,否,未设计,P1
CHAR-030,G06,分片群岛,相柳,管理员,是,未设计,P1
CHAR-031,G07,方格城,格尺,星球NPC,否,未设计,P1
CHAR-032,G07,方格城,围围婆婆,星球NPC,否,未设计,P1
CHAR-033,G07,方格城,砖砖队长,星球NPC,否,未设计,P1
CHAR-034,G07,方格城,角角,星球NPC,否,未设计,P1
CHAR-035,G07,方格城,夔,管理员,是,未设计,P1
CHAR-036,G08,钟摆之城,小刻,星球NPC,否,未设计,P1
CHAR-037,G08,钟摆之城,午午站长,星球NPC,否,未设计,P1
CHAR-038,G08,钟摆之城,夜夜姐,星球NPC,否,未设计,P1
CHAR-039,G08,钟摆之城,三拍鼓,星球NPC,否,未设计,P1
CHAR-040,G08,钟摆之城,烛龙,管理员,是,未设计,P1
CHAR-041,G09,棋阵卫星,星格,星球NPC,否,未设计,P1
CHAR-042,G09,棋阵卫星,白子爷爷,星球NPC,否,未设计,P1
CHAR-043,G09,棋阵卫星,小孔,星球NPC,否,未设计,P1
CHAR-044,G09,棋阵卫星,直角队长,星球NPC,否,未设计,P1
CHAR-045,G09,棋阵卫星,斜线妹,星球NPC,否,未设计,P1
CHAR-046,G09,棋阵卫星,无名棋子,星球NPC,否,未设计,P1
CHAR-047,G09,棋阵卫星,穷奇,管理员,是,未设计,P1
CHAR-048,G10,概率云港,云朵朵,星球NPC,否,未设计,P1
CHAR-049,G10,概率云港,港长柱叔,星球NPC,否,未设计,P1
CHAR-050,G10,概率云港,小风车,星球NPC,否,未设计,P1
CHAR-051,G10,概率云港,箱箱队长,星球NPC,否,未设计,P1
CHAR-052,G10,概率云港,晴,星球NPC,否,未设计,P1
CHAR-053,G10,概率云港,雨,星球NPC,否,未设计,P1
CHAR-054,G10,概率云港,毕方,管理员,是,未设计,P1
CHAR-055,G11,立体工厂,方方厂长,星球NPC,否,未设计,P1
CHAR-056,G11,立体工厂,折折师傅,星球NPC,否,未设计,P1
CHAR-057,G11,立体工厂,仓仓姐,星球NPC,否,未设计,P1
CHAR-058,G11,立体工厂,棱角兄,星球NPC,否,未设计,P1
CHAR-059,G11,立体工厂,棱角弟,星球NPC,否,未设计,P1
CHAR-060,G11,立体工厂,盒小满,星球NPC,否,未设计,P1
CHAR-061,G11,立体工厂,六面影,星球NPC,否,未设计,P1
CHAR-062,G11,立体工厂,刑天,管理员,是,未设计,P1
CHAR-063,G12,百工星环,鲁班包包,星球NPC,否,未设计,P1
CHAR-064,G12,百工星环,焊花姐,星球NPC,否,未设计,P1
CHAR-065,G12,百工星环,榫榫爷爷,星球NPC,否,未设计,P1
CHAR-066,G12,百工星环,排排队长,星球NPC,否,未设计,P1
CHAR-067,G12,百工星环,试试飞,星球NPC,否,未设计,P1
CHAR-068,G12,百工星环,补丁博士,星球NPC,否,未设计,P1
CHAR-069,G12,百工星环,应龙,管理员,是,未设计,P1
CHAR-070,G13,零号地球,零零,星球NPC,否,未设计,P1
CHAR-071,G13,零号地球,混沌／归零者,管理员,是,未设计,P0
