资产ID,范围,星球,界面名称,类别,分批,独立设计板,确认状态,冻结版本
UI-001,GLOBAL,全局,标题/主菜单,共享UI,UI-A,已检出,已确认冻结,V2.0
UI-002,GLOBAL,全局,存档/读档,共享UI,UI-A,已检出,已确认冻结,V2.0
UI-003,GLOBAL,全局,设置与无障碍,共享UI,UI-A,已检出,已确认冻结,V2.0
UI-004,GLOBAL,全局,暂停菜单,共享UI,UI-A,已检出,已确认冻结,V2.0
UI-005,GLOBAL,全局,探索HUD,共享UI,UI-A,已检出,已确认冻结,V2.0
UI-006,GLOBAL,全局,对话/角色通讯,共享UI,UI-A,已检出,已确认冻结,V2.0
UI-007,GLOBAL,全局,背包/资源,共享UI,UI-A,已检出,已确认冻结,V2.0
UI-008,GLOBAL,全局,任务日志,共享UI,UI-A,已检出,已确认冻结,V2.0
UI-009,GLOBAL,全局,地图/地点树,共享UI,UI-A,已检出,已确认冻结,V2.0
UI-010,GLOBAL,全局,档案/证据,共享UI,UI-A,已检出,已确认冻结,V2.0
UI-011,GLOBAL,全局,装备/组合,共享UI,UI-A,已检出,已确认冻结,V2.0
UI-012,GLOBAL,全局,失败与快速恢复,共享UI,UI-A,已检出,已确认冻结,V2.0
UI-013,G02,锈环星,资源网络机制界面,机制UI,UI-A,已检出,已确认冻结,V2.0
UI-014,G02,锈环星,参数诊断机制界面,机制UI,UI-A,已检出,已确认冻结,V2.0
UI-015,G02,锈环星,路径调度机制界面,机制UI,UI-A,已检出,已确认冻结,V2.0
UI-016,G03,齿轮荒原,真实需求表机制界面,机制UI,UI-A,已检出,已确认冻结,V2.0
UI-017,G03,齿轮荒原,订单欺骗机制界面,机制UI,UI-A,已检出,已确认冻结,V2.0
UI-018,G03,齿轮荒原,传送带逆行机制界面,机制UI,UI-A,已检出,已确认冻结,V2.0
UI-019,G03,齿轮荒原,公开分配会机制界面,机制UI,UI-A,已检出,已确认冻结,V2.0
UI-020,G04,镜面沙海,现实/镜像双层坐标机制界面,机制UI,UI-A,已检出,已确认冻结,V2.0
UI-021,G04,镜面沙海,记忆耐久机制界面,机制UI,UI-A,已检出,已确认冻结,V2.0
UI-022,G04,镜面沙海,反向输入机关机制界面,机制UI,UI-A,已检出,已确认冻结,V2.0
UI-023,G04,镜面沙海,欺骗预测机制界面,机制UI,UI-A,已检出,已确认冻结,V2.0
UI-024,G05,刻度冰原,双高度校准机制界面,机制UI,UI-B,已检出,已确认冻结,V2.0
